iter	Passed	Remaining
707	24023	9907
708	24054	9872
709	24066	9830
710	24095	9794
711	24123	9757
712	24143	9718
713	24174	9683
714	24204	9648
715	24236	9613
716	24269	9579
717	24301	9544
718	24334	9510
719	24366	9475
720	24397	9440
721	24427	9405
722	24459	9371
723	24490	9336
724	24524	9302
725	24554	9267
726	24591	9234
727	24629	9202
728	24669	9170
729	24708	9138
730	24752	9108
731	24787	9075
732	24821	9041
733	24858	9008
734	24892	8974
735	24923	8939
736	24960	8907
737	24989	8871
738	25022	8837
739	25052	8802
740	25069	8762
741	25100	8727
742	25131	8693
743	25163	8658
744	25194	8623
745	25224	8588
746	25257	8554
747	25290	8520
748	25322	8486
749	25358	8452
750	25392	8419
751	25421	8383
752	25453	8349
753	25485	8314
754	25517	8280
755	25545	8244
756	25583	8212
757	25624	8180
758	25663	8148
759	25696	8114
760	25731	8081
761	25768	8048
762	25805	8015
763	25858	7987
764	25901	7956
765	25940	7924
766	25977	7891
767	25985	7849
768	26017	7815
769	26050	7781
770	26084	7747
771	26124	7715
772	26160	7682
773	26195	7648
774	26233	7616
775	26266	7582
776	26297	7547
777	26330	7513
778	26365	7479
779	26380	7440
780	26410	7405
781	26442	7371
782	26470	7336
783	26503	7302
784	26539	7268
785	26573	7234
786	26611	7202
787	26625	7163
788	26665	7131
789	26697	7096
790	26710	7057
791	26738	7022
792	26770	6988
793	26801	6953
794	26834	6919
795	26868	6885
796	26900	6851
797	26930	6816
798	26961	6782
799	26997	6749
800	27028	6714
801	27061	6680
802	27093	6646
803	27125	6612
804	27160	6579
805	27196	6546
806	27230	6512
807	27260	6477
808	27297	6444
809	27333	6411
810	27367	6377
811	27403	6344
812	27439	6311
813	27475	6278
814	27507	6244
815	27540	6210
816	27576	6176
817	27611	6143
818	27652	6111
819	27695	6079
820	27727	6045
821	27762	6011
822	27794	5977
823	27829	5944
824	27863	5910
825	27896	5876
826	27929	5842
827	27962	5808
828	27995	5774
829	28027	5740
830	28057	5706
831	28089	5671
832	28121	5637
833	28156	5604
834	28190	5570
835	28222	5536
836	28254	5502
837	28288	5468
838	28322	5434
839	28366	5403
840	28407	5370
841	28446	5338
842	28489	5305
843	28524	5272
844	28556	5238
845	28592	5204
846	28628	5171
847	28660	5137
848	28694	5103
849	28729	5069
850	28766	5036
851	28799	5002
852	28830	4968
853	28865	4934
854	28897	4900
855	28928	4866
856	28962	4832
857	28994	4798
858	29027	4764
859	29063	4731
860	29094	4697
861	29131	4663
862	29162	4629
863	29195	4595
864	29230	4562
865	29265	4528
866	29300	4494
867	29337	4461
868	29355	4425
869	29387	4391
870	29423	4357
871	29454	4323
872	29483	4289
873	29513	4254
874	29526	4218
875	29560	4184
876	29599	4151
877	29643	4119
878	29679	4085
879	29712	4051
880	29746	4018
881	29782	3984
882	29820	3951
883	29856	3917
884	29885	3883
885	29916	3849
886	29950	3815
887	29983	3781
888	30017	3747
889	30049	3713
890	30086	3680
891	30128	3647
892	30169	3614
893	30210	3582
894	30251	3549
895	30287	3515
896	30327	3482
897	30378	3450
898	30413	3416
899	30447	3383
900	30483	3349
901	30519	3315
902	30553	3282
903	30587	3248
904	30628	3215
905	30669	3182
906	30704	3148
907	30742	3114
908	30775	3080
909	30810	3047
910	30844	3013
911	30879	2979
912	30913	2945
913	30948	2912
914	30984	2878
915	31022	2844
916	31058	2811
917	31096	2777
918	31135	2744
919	31172	2710
920	31204	2676
921	31237	2642
922	31281	2609
923	31332	2577
924	31370	2543
925	31403	2509
926	31438	2475
927	31476	2442
928	31508	2408
929	31544	2374
930	31584	2340
931	31626	2307
932	31660	2273
933	31693	2239
934	31728	2205
935	31759	2171
936	31795	2137
937	31829	2103
938	31862	2069
939	31892	2035
940	31924	2001
941	31958	1967
942	31993	1933
943	32023	1899
944	32057	1865
945	32092	1831
946	32125	1797
947	32157	1763
948	32189	1729
949	32221	1695
950	32254	1661
951	32287	1627
952	32323	1594
953	32366	1560
954	32411	1527
955	32446	1493
956	32479	1459
957	32511	1425
